,pts,pts_from,year,points_to
0,8,Finland,1988,italy
1,8,Switzerland,1988,italy
2,8,France,1988,italy
3,7,Spain,1988,italy
4,5,Yugoslavia,1988,italy
5,5,Austria,1988,italy
6,4,Turkey,1988,italy
7,3,Norway,1988,italy
8,2,Luxembourg,1988,italy
9,2,Germany,1988,italy
10,52,points received,1988,italy
0,12,Yugoslavia,1988,france
1,10,Luxembourg,1988,france
2,8,Turkey,1988,france
3,7,Austria,1988,france
4,5,Greece,1988,france
5,3,Finland,1988,france
6,3,Denmark,1988,france
7,3,Germany,1988,france
8,3,Switzerland,1988,france
9,2,Sweden,1988,france
10,2,The Netherlands,1988,france
11,2,Belgium,1988,france
12,2,Spain,1988,france
13,1,Portugal,1988,france
14,1,Norway,1988,france
15,64,points received,1988,france
0,12,Spain,1988,ireland
1,7,Germany,1988,ireland
2,7,Sweden,1988,ireland
3,7,Norway,1988,ireland
4,7,Denmark,1988,ireland
5,6,The Netherlands,1988,ireland
6,6,Austria,1988,ireland
7,5,Portugal,1988,ireland
8,5,Belgium,1988,ireland
9,4,France,1988,ireland
10,4,Switzerland,1988,ireland
11,3,United Kingdom,1988,ireland
12,2,Turkey,1988,ireland
13,2,Yugoslavia,1988,ireland
14,2,Finland,1988,ireland
15,79,points received,1988,ireland
0,8,Portugal,1988,iceland
1,4,Denmark,1988,iceland
2,4,The Netherlands,1988,iceland
3,2,France,1988,iceland
4,1,Italy,1988,iceland
5,1,Sweden,1988,iceland
6,20,points received,1988,iceland
0,12,Italy,1988,united-kingdom
1,12,Belgium,1988,united-kingdom
2,12,Turkey,1988,united-kingdom
3,10,Finland,1988,united-kingdom
4,10,Germany,1988,united-kingdom
5,10,Spain,1988,united-kingdom
6,10,Israel,1988,united-kingdom
7,10,Austria,1988,united-kingdom
8,10,Denmark,1988,united-kingdom
9,8,Luxembourg,1988,united-kingdom
10,7,Ireland,1988,united-kingdom
11,6,Greece,1988,united-kingdom
12,5,Sweden,1988,united-kingdom
13,5,Switzerland,1988,united-kingdom
14,5,Norway,1988,united-kingdom
15,3,Portugal,1988,united-kingdom
16,1,Iceland,1988,united-kingdom
17,136,points received,1988,united-kingdom
0,12,Austria,1988,denmark
1,12,The Netherlands,1988,denmark
2,12,France,1988,denmark
3,10,Norway,1988,denmark
4,10,Iceland,1988,denmark
5,7,Belgium,1988,denmark
6,6,Portugal,1988,denmark
7,6,Israel,1988,denmark
8,4,Finland,1988,denmark
9,4,Germany,1988,denmark
10,4,Ireland,1988,denmark
11,3,Sweden,1988,denmark
12,1,Spain,1988,denmark
13,1,Switzerland,1988,denmark
14,92,points received,1988,denmark
0,0,points received,1988,austria
0,12,Portugal,1988,switzerland
1,12,Germany,1988,switzerland
2,12,Sweden,1988,switzerland
3,10,Greece,1988,switzerland
