,pts,pts_from,year,points_to
0,8,Luxembourg,1989,france
1,7,Cyprus,1989,france
2,6,Ireland,1989,france
3,5,Austria,1989,france
4,5,Norway,1989,france
5,5,Greece,1989,france
6,5,Israel,1989,france
7,4,The Netherlands,1989,france
8,3,Finland,1989,france
9,3,Yugoslavia,1989,france
10,3,Denmark,1989,france
11,3,Italy,1989,france
12,2,Germany,1989,france
13,1,Sweden,1989,france
14,60,points received,1989,france
0,7,Turkey,1989,ireland
1,4,Germany,1989,ireland
2,3,Belgium,1989,ireland
3,3,Norway,1989,ireland
4,2,Yugoslavia,1989,ireland
5,2,Luxembourg,1989,ireland
6,21,points received,1989,ireland
0,0,points received,1989,iceland
0,12,Luxembourg,1989,united-kingdom
1,12,France,1989,united-kingdom
2,12,Portugal,1989,united-kingdom
3,12,Germany,1989,united-kingdom
4,12,Norway,1989,united-kingdom
5,10,Sweden,1989,united-kingdom
6,10,Spain,1989,united-kingdom
7,8,Austria,1989,united-kingdom
8,7,Israel,1989,united-kingdom
9,7,The Netherlands,1989,united-kingdom
10,6,Italy,1989,united-kingdom
11,6,Yugoslavia,1989,united-kingdom
12,6,Finland,1989,united-kingdom
13,4,Ireland,1989,united-kingdom
14,2,Cyprus,1989,united-kingdom
15,2,Greece,1989,united-kingdom
16,1,Denmark,1989,united-kingdom
17,1,Turkey,1989,united-kingdom
18,130,points received,1989,united-kingdom
0,12,The Netherlands,1989,denmark
1,12,Finland,1989,denmark
2,12,Sweden,1989,denmark
3,10,Norway,1989,denmark
4,10,United Kingdom,1989,denmark
5,10,Ireland,1989,denmark
6,10,Iceland,1989,denmark
7,7,Austria,1989,denmark
8,6,France,1989,denmark
9,6,Turkey,1989,denmark
10,5,Italy,1989,denmark
11,4,Belgium,1989,denmark
12,3,Luxembourg,1989,denmark
13,2,Portugal,1989,denmark
14,1,Israel,1989,denmark
15,1,Yugoslavia,1989,denmark
16,111,points received,1989,denmark
0,7,Denmark,1989,germany
1,7,Italy,1989,germany
2,6,Switzerland,1989,germany
3,6,Sweden,1989,germany
4,5,Belgium,1989,germany
5,5,Portugal,1989,germany
6,3,Greece,1989,germany
7,3,Iceland,1989,germany
8,2,Ireland,1989,germany
9,1,Cyprus,1989,germany
10,1,United Kingdom,1989,germany
11,46,points received,1989,germany
0,12,Italy,1989,austria
1,12,Belgium,1989,austria
2,12,Greece,1989,austria
3,10,Cyprus,1989,austria
4,8,Iceland,1989,austria
5,8,Switzerland,1989,austria
6,8,Israel,1989,austria
7,7,Sweden,1989,austria
8,5,Yugoslavia,1989,austria
9,5,Germany,1989,austria
10,4,Denmark,1989,austria
11,3,Turkey,1989,austria
12,2,Spain,1989,austria
13,1,Finland,1989,austria
14,97,points received,1989,austria
0,10,The Netherlands,1989,switzerland
1,8,Turkey,1989,switzerland
2,8,United Kingdom,1989,switzerland
3,7,Iceland,1989,switzerland
4,4,Italy,1989,switzerland
5,4,Israel,1989,switzerland
6,3,Portugal,1989,switzerland
7,2,Denmark,1989,switzerland
8,1,Austria,1989,switzerland
9,47,points received,1989,switzerland
0,5,Ireland,1989,belgium
1,5,The Netherlands,1989,belgium
2,2,Norway,1989,belgium
3,1,Iceland,1989,belgium
4,13,points received,1989,belgium
0,5,France,1989,luxembourg
1,3,Spain,1989,luxembourg
2,8,points received,1989,luxembourg
0,12,Iceland,1989,cyprus
1,8,Denmark,1989,cyprus
2,7,Greece,1989,cyprus
3,6,United Kingdom,1989,cyprus
4,6,Portugal,1989,cyprus
5,4,Switzerland,1989,cyprus
6,3,Israel,1989,cyprus
7,2,Austria,1989,cyprus
8,2,Italy,1989,cyprus
9,1,Ireland,1989,cyprus
10,51,points received,1989,cyprus
0,10,Italy,1989,the-netherlands
1,7,France,1989,the-netherlands
2,6,Germany,1989,the-netherlands
3,6,Spain,1989,the-netherlands
4,4,Austria,1989,the-netherlands
5,4,Finland,1989,the-netherlands
6,3,United Kingdom,1989,the-netherlands
7,3,Ireland,1989,the-netherlands
8,1,Luxembourg,1989,the-netherlands
9,1,Greece,1989,the-netherlands
10,45,points received,1989,the-netherlands
0,12,Denmark,1989,sweden
1,12,Yugoslavia,1989,sweden
2,12,Austria,1989,sweden
3,8,Greece,1989,sweden
4,8,Norway,1989,sweden
5,8,Germany,1989,sweden
6,8,Portugal,1989,sweden
7,8,Cyprus,1989,sweden
8,6,Israel,1989,sweden
9,6,Belgium,1989,sweden
10,6,Luxembourg,1989,sweden
11,5,Spain,1989,sweden
12,4,United Kingdom,1989,sweden
13,3,Switzerland,1989,sweden
14,2,France,1989,sweden
15,2,Iceland,1989,sweden
16,110,points received,1989,sweden
0,4,Yugoslavia,1989,turkey
1,1,Spain,1989,turkey
2,5,points received,1989,turkey
0,7,Switzerland,1989,israel
